Phenotype,Collapsing model,Phenotypic category,P value,No. samples,No. with QV,No. without QV,QV carrier median,QV non-carrier median,Effect size,Effect size standard error,Effect size LCI,Effect size UCI
1072#1840#NEFL#P07196#OID20871#v1#Neurology,syn,OLINK Proteomics,0.0861692972970591,44076,145,43931,0.199168033005037,0.0251911325070632,0.120695455244604,0.0703353971942764,-0.0171631774414644,0.258554087930673
1072#43#ADAMTS4#O75173#OID30471#v1#InflammationII,syn,OLINK Proteomics,0.00290715895424794,44339,148,44191,0.204540326177189,0.0147547588686361,0.237964959990806,0.0799196218108239,0.0813211016929766,0.394608818288636
23600#NMR Cholesterol to Total Lipids in Small VLDL percentage,syn,NMR Metabolomics,0.0414877667118135,99987,331,99656,0.0285574466466396,-0.000137879377585406,0.10391272086258,0.0509713704187378,0.0040094399552824,0.203816001769879
23002#gE / gI antigen for Varicella Zoster Virus,syn,Chapter I Certain infectious and parasitic diseases,0.0650339877810039,8098,22,8076,-0.450538893570115,-6.9524464310633e-17,-0.394022700957538,0.213530563499069,-0.812597507908029,0.0245521059929532
23474#NMR 3-Hydroxybutyrate,syn,NMR Metabolomics,0.0457901561290481,99778,333,99445,-0.0643679890519146,0.000188411155223261,-0.109609757623766,0.0548776480009779,-0.217169298866655,-0.00205021638087619
23317#Arms combined bone area,syn,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0916595227808231,35205,123,35082,0.0275633735960096,0.011368312894616,0.0984743699269287,0.0583809905479873,-0.0159542034826202,0.212902943336478
25217#Mean L1 in anterior limb of internal capsule on FA skeleton (left),syn,Chapter VI Diseases of the nervous system,0.00716400864240535,34972,113,34859,-0.279338331214765,0.011228099486762,-0.23218081120343,0.0863356475462447,-0.401401428289607,-0.0629601941172533
1072#847#DPEP2#Q9H4A9#OID21305#v1#Oncology,syn,OLINK Proteomics,0.0424629745950273,45042,147,44895,-0.175977332431378,-0.00603195166035111,-0.163908448105599,0.0807824082116719,-0.322243315339256,-0.00557358087194224
1072#1782#MUCL3#Q3MIW9#OID31170#v1#OncologyII,syn,OLINK Proteomics,0.0419457707907041,44039,145,43894,0.212790910621576,0.000704657487364086,0.168961871866735,0.0830639839081953,0.00615497849209112,0.331768765241378
1072#1461#ITGB5#P18084#OID21522#v1#Oncology,syn,OLINK Proteomics,0.0552408481691336,45388,149,45239,0.113616943464458,0.0145386412168245,0.152165485906637,0.0793757894313087,-0.00341235316295607,0.30774332497623
30510#Creatinine (enzymatic) in urine,syn,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.0649742345010388,407506,1341,406165,-0.053176329262786,-0.00767963933017032,-0.0470013429553102,0.0254689040493818,-0.0969196258853587,0.0029169399747383
1072#1737#MMP7#P09237#OID20087#v1#Cardiometabolic,syn,OLINK Proteomics,0.0453445348138172,44381,144,44237,0.273170092914282,-0.01019577380685,0.159105808101257,0.0794932553496831,0.00329763956239323,0.314913976640121
NMR Cholesteryl Esters to Cholesterol in VLDL percentage,syn,NMR Metabolomics,0.0830741896991226,99361,329,99032,0.0211921948690022,-0.000163974949082401,0.0835182109875189,0.0481889964280293,-0.0109316572335405,0.177968079208578
1072#2228#RAB6A#P20340#OID20608#v1#Inflammation,syn,OLINK Proteomics,0.0929656880201478,45190,145,45045,0.0805276210393714,0.00667480947454903,0.136481610322771,0.0812394159653397,-0.022748985703594,0.295712206349137
25595#Weighted-mean L1 in tract uncinate fasciculus (right),syn,Chapter VI Diseases of the nervous system,0.0272576671617173,34970,113,34857,-0.358853319292621,0.00293857086734523,-0.196014306329664,0.0887785905618126,-0.370023169824994,-0.0220054428343351
1072#432#CD276#Q5ZPR3#OID20680#v1#Inflammation,syn,OLINK Proteomics,0.0736998301462243,45225,149,45076,0.192039823388931,0.0193894862494727,0.140176098607266,0.0783757392387346,-0.0134416405872852,0.293793837801818
1072#200#ATG4A#Q8WYN0#OID21246#v1#Oncology,syn,OLINK Proteomics,0.0546715388817862,44180,144,44036,-0.180540238718031,-0.00867977570247175,-0.155781226990273,0.0810715143645481,-0.31468283049009,0.00312037650954297
1072#1883#NOTCH3#Q9UM47#OID20253#v1#Cardiometabolic,syn,OLINK Proteomics,0.0739727564991156,45810,149,45661,0.141747420601204,-0.0177964009877396,0.136578251819742,0.0764363745753958,-0.0132382494604263,0.286394753099909
25148#Mean MD in uncinate fasciculus on FA skeleton (right),syn,Chapter VI Diseases of the nervous system,0.0142032252029484,34972,113,34859,-0.184617420267386,0.00658829818566387,-0.222677299824909,0.0908069659168313,-0.400661843230792,-0.0446927564190259
25392#Mean OD in middle cerebellar peduncle on FA skeleton,syn,Chapter VI Diseases of the nervous system,0.0135413183342144,34970,113,34857,0.22043250778959,-0.00893954810276621,0.229778085502276,0.0930527514708631,0.0473917305704021,0.412164440434149
1072#815#DKK4#Q9UBT3#OID20934#v1#Neurology,syn,OLINK Proteomics,0.0769695176534124,44838,147,44691,0.133008300631576,0.00615850083383181,0.141694445525707,0.0801172886558795,-0.0153367955022696,0.298725686553684
25665#Weighted-mean ICVF in tract inferior longitudinal fasciculus (right),syn,Chapter VI Diseases of the nervous system,0.0943872418183124,34969,113,34856,0.132532932850556,-0.00399037324724153,0.152163237184603,0.0909664065125528,-0.0261338153931095,0.330460289762315
25594#Weighted-mean L1 in tract uncinate fasciculus (left),syn,Chapter VI Diseases of the nervous system,0.0210902737135944,34970,113,34857,-0.409206568468021,0.00411400489834182,-0.206334700538954,0.0894591369758368,-0.381677456668879,-0.0309919444090288
1072#736#CWC15#Q9P013#OID31479#v1#OncologyII,syn,OLINK Proteomics,0.0370254247701285,45198,150,45048,-0.189619702433506,0.00745527780112795,-0.168452442280846,0.0807714122422185,-0.326765742535027,-0.0101391420266664
25236#Mean L1 in cingulum hippocampus on FA skeleton (right),syn,Chapter VI Diseases of the nervous system,0.0619513762917738,34972,113,34859,-0.1836107172903,0.00844419609290865,-0.175362638171804,0.0939424199941516,-0.359492771364633,0.00876749502102395
