Phenotype,Collapsing model,Phenotypic category,P value,No. samples,No. cases,No. cases with QV,Proportion cases with QV,No. controls,No. controls with QV,Proportion controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
union#Block M70-M79#M70-M79 Other soft tissue disorders,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0131,177174,43759,84,0.00191960510980598,133415,184,0.00137915526739872,1.3926,1.0756,1.8031
132481#Source of report of Q27 other congenital malformations of peripheral vascular system,ptv5pcnt,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0714,419387,291,2,0.00687285223367698,419096,627,0.0014960772710787,4.6188,1.1471,18.598
union#I95#Hypotension,ptv5pcnt,Chapter IX Diseases of the circulatory system,0.0841,154173,16639,16,0.000961596249774626,137534,207,0.00150508237962976,0.6386,0.3839,1.0621
41202#J47#Bronchiectasis,ptv5pcnt,Chapter X Diseases of the respiratory system,0.0753,328939,1057,4,0.00378429517502365,327882,487,0.00148529043985336,2.5537,0.9528,6.8444
41202#R002#Palpitations,ptv5pcnt,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.0696,231429,3323,9,0.00270839602768583,228106,335,0.00146861546824722,1.8465,0.9516,3.5831
120001#Ever had rheumatoid arthritis affecting one or more joints,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0475,122543,9148,21,0.00229558373414954,113395,162,0.00142863441950703,1.6082,1.0203,2.5351
41202#K611#Rectal abscess,ptv5pcnt,Chapter XI Diseases of the digestive system,0.0686,141678,47,1,0.0212765957446809,141631,213,0.00150390804273076,14.4334,1.9814,105.1392
41202#F02#Dementia in other diseases classified elsewhere,ptv5pcnt,Chapter V Mental and behavioural disorders,0.0541,280161,37,1,0.027027027027027,280124,420,0.00149933600833916,18.4989,2.5304,135.2403
131769#Source of report of L57 skin changes due to chronic exposure to nonionising radiation,ptv5pcnt,Chapter XII Diseases of the skin and subcutaneous tissue,0.0075,362372,18678,42,0.00224863475746868,343694,488,0.00141986767298818,1.585,1.1561,2.173
union#M05#Seropositive rheumatoid arthritis,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0375,146073,10024,22,0.00219473264166002,136049,184,0.00135245389528773,1.6241,1.0433,2.5284
