Phenotype,Collapsing model,Phenotypic category,P value,No. samples,No. cases,No. cases with QV,Proportion cases with QV,No. controls,No. controls with QV,Proportion controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
union#C187#Malignant neoplasm: Sigmoid colon,URmtr,Chapter II Neoplasms,0.0373,213889,2391,0,0,211498,345,0.00163122109901748,0,,
union#E831#Disorders of iron metabolism,URmtr,Chapter IV Endocrine nutritional and metabolic diseases,0.0043,176127,1226,7,0.00570962479608483,174901,280,0.00160090565519923,3.5812,1.6881,7.5976
union#C402#Malignant neoplasm: Long bones of lower limb,URmtr,Chapter II Neoplasms,0.0636,257944,41,1,0.024390243902439,257903,412,0.00159749983520936,15.6245,2.1428,113.9247
union#Z081#Follow-up examination after radiotherapy for malignant neoplasm,URmtr,Chapter XXI Factors influencing health status and contact with health services,0.0152,94847,132,2,0.0151515151515152,94715,132,0.00139365464815499,11.0237,2.6996,45.0147
41202#M161#Other primary coxarthrosis,URmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.078,270927,4429,12,0.00270941521788214,266498,409,0.00153472071084961,1.7675,0.9948,3.1405
41202#D751#Secondary polycythaemia,URmtr,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.084,258143,321,2,0.00623052959501558,257822,384,0.00148939966333362,4.2032,1.0429,16.9406
41202#M7791#Enthesopathy unspecified Shoulder region,URmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0847,297667,57,1,0.0175438596491228,297610,461,0.00154900708981553,11.5103,1.59,83.3269
41202#Q39#Congenital malformations of oesophagus,URmtr,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0871,416243,59,1,0.0169491525423729,416184,641,0.00154018414931857,11.1771,1.5458,80.8189
41202#J985#Diseases of mediastinum not elsewhere classified,URmtr,Chapter X Diseases of the respiratory system,0.0813,255175,56,1,0.0178571428571429,255119,385,0.0015090996750536,12.0299,1.6605,87.1527
union#M0637#Rheumatoid nodule Ankle and foot,URmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0604,80842,43,1,0.0232558139534884,80799,116,0.00143566133244223,16.5606,2.2603,121.336
union#I31#Other diseases of pericardium,URmtr,Chapter IX Diseases of the circulatory system,0.0267,126225,2996,10,0.00333778371161549,123229,181,0.00146881010151831,2.2767,1.2032,4.3079
41202#H904#Sensorineural hearing loss unilateral with unrestricted hearing on the contralateral side,URmtr,Chapter VIII Diseases of the ear and mastoid process,0.0739,411066,50,1,0.02,411016,630,0.00153278704478658,13.294,1.8329,96.4239
41202#C609#Malignant neoplasm: Penis unspecified,URmtr,Chapter II Neoplasms,0.0055,137999,69,2,0.0289855072463768,137930,218,0.0015805118538389,18.8569,4.5913,77.4477
union#I313#Pericardial effusion (noninflammatory),URmtr,Chapter IX Diseases of the circulatory system,0.0413,143813,1750,6,0.00342857142857143,142063,200,0.00140782610531947,2.4403,1.0818,5.5045
130821#Source of report of E83 disorders of mineral metabolism,URmtr,Chapter IV Endocrine nutritional and metabolic diseases,0.0275,380438,7676,20,0.00260552371026576,372762,576,0.00154522188420494,1.688,1.0802,2.6377
41202#K610#Anal abscess,URmtr,Chapter XI Diseases of the digestive system,0.0019,153969,1406,8,0.00568990042674253,152563,235,0.0015403472663752,3.7093,1.8298,7.5193
union#M779#Enthesopathy unspecified,URmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0764,122091,648,3,0.00462962962962963,121443,182,0.00149864545506946,3.0989,0.9876,9.7238
41202#J929#Pleural plaque without asbestos,URmtr,Chapter X Diseases of the respiratory system,0.0063,203979,75,2,0.0266666666666667,203904,318,0.00155955743879473,17.5399,4.2862,71.7772
union#I455#Other specified heart block,URmtr,Chapter IX Diseases of the circulatory system,0.0603,113100,267,2,0.00749063670411985,112833,166,0.00147120080118405,5.1224,1.2639,20.761
40002#J449#Chronic obstructive pulmonary disease unspecified,URmtr,Chapter X Diseases of the respiratory system,0.0074,288734,1741,8,0.00459506031016657,286993,451,0.00157146689988954,2.9329,1.4555,5.9102
union#M169#Coxarthrosis unspecified,URmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0082,137270,17102,42,0.00245585311659455,120168,183,0.00152286798482125,1.6142,1.1538,2.2582
40011#9120#Hemangiosarcoma,URmtr,Chapter II Neoplasms,0.0486,419387,32,1,0.03125,419355,652,0.0015547686327813,20.7156,2.8237,151.9769
union#I209#Angina pectoris unspecified,URmtr,Chapter IX Diseases of the circulatory system,0.0917,141281,27433,49,0.00178616994131156,113848,154,0.00135268076733891,1.321,0.9576,1.8224
union#Block J95-J99#J95-J99 Other diseases of the respiratory system,URmtr,Chapter X Diseases of the respiratory system,0.0271,162730,16561,39,0.00235493025783467,146169,233,0.0015940452489926,1.4785,1.0529,2.0761
union#I700#Atherosclerosis of aorta,URmtr,Chapter IX Diseases of the circulatory system,0.0268,121591,1061,5,0.00471253534401508,120530,186,0.00154318426947648,3.0635,1.2577,7.4623
41202#E114#Type 2 diabetes mellitus; With neurological complications,URmtr,Chapter IV Endocrine nutritional and metabolic diseases,0.0941,291754,64,1,0.015625,291690,449,0.00153930542699441,10.2959,1.4249,74.3966
union#Block Q65-Q79#Q65-Q79 Congenital malformations and deformations of the musculoskeletal system,URmtr,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0003678,327671,1350,9,0.00666666666666667,326321,511,0.00156594273736597,4.2791,2.2089,8.2895
union#I620#Subdural haemorrhage (acute)(nontraumatic),URmtr,Chapter IX Diseases of the circulatory system,0.0261,112221,806,4,0.00496277915632754,111415,151,0.00135529327289862,3.6751,1.3583,9.9432
union#H534#Visual field defects,URmtr,Chapter VII Diseases of the eye and adnexa,0.0539,222225,873,4,0.00458190148911799,221352,354,0.00159926271278326,2.8736,1.0701,7.7163
union#G808#Other cerebral palsy,URmtr,Chapter VI Diseases of the nervous system,0.0527,277111,33,1,0.0303030303030303,277078,453,0.00163491868715669,19.0829,2.602,139.9538
union#O990#Anaemia complicating pregnancy childbirth and the puerperium,URmtr,Chapter XV Pregnancy childbirth and the puerperium,0.0455,192672,859,4,0.00465657741559953,191813,294,0.00153274282764985,3.0476,1.1336,8.193
20002#1313#ankylosing spondylitis,URmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0996,244604,1164,4,0.00343642611683849,243440,363,0.00149112717712783,2.3091,0.8605,6.1961
41202#E139#Other specified diabetes mellitus; Without complications,URmtr,Chapter IV Endocrine nutritional and metabolic diseases,0.0014,405137,35,2,0.0571428571428571,405102,624,0.00154035280003555,39.285,9.4062,164.0727
41202#M940#Chondrocostal junction syndrome [Tietze],URmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0833,225866,310,2,0.00645161290322581,225556,346,0.00153398712514852,4.2266,1.0481,17.0442
41202#M16#Coxarthrosis [arthrosis of hip],URmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0011,284842,18694,48,0.00256766877072858,266148,402,0.00151043780152396,1.7018,1.2611,2.2964
41202#E161#Other hypoglycaemia,URmtr,Chapter IV Endocrine nutritional and metabolic diseases,0.057,405140,38,1,0.0263157894736842,405102,624,0.00154035280003555,17.519,2.3999,127.8868
132531#Source of report of Q60 renal agenesis and other reduction defects of kidney,URmtr,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0827,346315,301,2,0.00664451827242525,346014,545,0.00157508077707838,4.2401,1.0528,17.0759
union#M774#Metatarsalgia,URmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0528,84565,560,3,0.00535714285714286,84005,124,0.00147610261293971,3.6434,1.1557,11.4864
union#L439#Lichen planus unspecified,URmtr,Chapter XII Diseases of the skin and subcutaneous tissue,0.0565,154713,896,4,0.00446428571428571,153817,243,0.00157979937198099,2.834,1.0528,7.6288
41202#M059#Seropositive rheumatoid arthritis unspecified,URmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0512,209848,525,3,0.00571428571428571,209323,328,0.0015669563306469,3.662,1.1712,11.4502
131761#Source of report of L53 other erythematous conditions,URmtr,Chapter XII Diseases of the skin and subcutaneous tissue,0.0284,419387,1463,6,0.00410116199589884,417924,647,0.00154812836783721,2.6559,1.1868,5.9435
20002#1556#menorrhagia (unknown cause),URmtr,Chapter XIV Diseases of the genitourinary system,0.0994,193307,1121,4,0.00356824264049955,192186,297,0.0015453779151447,2.3137,0.8611,6.2162
41202#I269#Pulmonary embolism without mention of acute cor pulmonale,URmtr,Chapter IX Diseases of the circulatory system,0.0172,261530,5140,15,0.00291828793774319,256390,385,0.0015016186278716,1.9462,1.161,3.2624
130697#Source of report of E03 other hypothyroidism,URmtr,Chapter IV Endocrine nutritional and metabolic diseases,0.0924,280752,32566,60,0.00184241233187987,248186,359,0.00144649577333129,1.2742,0.9692,1.6752
union#N459#Orchitis epididymitis and epididymo-orchitis without abscess,URmtr,Chapter XIV Diseases of the genitourinary system,0.0228,119258,1315,6,0.00456273764258555,117943,191,0.00161942633305919,2.8258,1.2515,6.3806
union#Block E00-E07#E00-E07 Disorders of thyroid gland,URmtr,Chapter IV Endocrine nutritional and metabolic diseases,0.0665,195466,28689,58,0.00202168078357559,166777,257,0.00154097987132518,1.3126,0.9869,1.7458
union#Block G35-G37#G35-G37 Demyelinating diseases of the central nervous system,URmtr,Chapter VI Diseases of the nervous system,0.0837,204941,2032,0,0,202909,323,0.00159184659132912,0,,
41202#N308#Other cystitis,URmtr,Chapter XIV Diseases of the genitourinary system,0.0721,255654,595,3,0.00504201680672269,255059,408,0.00159962988955497,3.1629,1.013,9.876
41202#H902#Conductive hearing loss unspecified,URmtr,Chapter VIII Diseases of the ear and mastoid process,0.0247,411173,157,2,0.0127388535031847,411016,630,0.00153278704478658,8.4052,2.0789,33.9838
20002#1259#motor neurone disease,URmtr,Chapter VI Diseases of the nervous system,0.0712,262601,48,1,0.0208333333333333,262553,403,0.00153492818592817,13.8403,1.9049,100.5583
union#H812#Vestibular neuronitis,URmtr,Chapter VIII Diseases of the ear and mastoid process,0.0412,192947,203,2,0.00985221674876847,192744,302,0.00156684514174241,6.3405,1.5677,25.6448
union#Z018#Other specified special examinations,URmtr,Chapter XXI Factors influencing health status and contact with health services,0.084,156128,1556,5,0.0032133676092545,154572,227,0.00146857128069767,2.1919,0.9023,5.3246
131877#Source of report of M19 other arthrosis,URmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0506,365966,74323,138,0.0018567603568209,291643,447,0.00153269579588744,1.2118,1.0011,1.4669
23060#HBV seropositivity for Hepatitis B Virus,URmtr,Chapter I Certain infectious and parasitic diseases,0.0863,6232,139,1,0.00719424460431655,6093,3,0.000492368291482029,14.7101,1.5205,142.3133
131807#Source of report of L82 seborrhoeic keratosis,URmtr,Chapter XII Diseases of the skin and subcutaneous tissue,0.0953,405018,27664,32,0.00115673799884326,377354,593,0.00157146870047754,0.7358,0.5154,1.0503
20002#1452#eczema|dermatitis,URmtr,Chapter XII Diseases of the skin and subcutaneous tissue,0.0782,399767,10689,24,0.00224529890541678,389078,593,0.00152411598702574,1.4742,0.9798,2.2182
union#H90#Conductive and sensorineural hearing loss,URmtr,Chapter VIII Diseases of the ear and mastoid process,0.0721,160437,7400,18,0.00243243243243243,153037,238,0.00155517946640355,1.5655,0.969,2.5291
41202#M5499#Dorsalgia unspecified Site unspecified,URmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0973,261623,1094,4,0.0036563071297989,260529,410,0.00157372115964058,2.3282,0.8681,6.2443
union#N322#Vesical fistula not elsewhere classified,URmtr,Chapter XIV Diseases of the genitourinary system,0.0606,209212,38,1,0.0263157894736842,209174,343,0.00163978314704504,16.455,2.2513,120.273
41202#M2551#Pain in joint Shoulder region,URmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0357,283040,1148,5,0.00435540069686411,281892,438,0.00155378655655357,2.811,1.1619,6.8003
union#M4796#Spondylosis unspecified Lumbar region,URmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0084,113000,1496,7,0.00467914438502674,111504,165,0.00147976754197159,3.1722,1.4864,6.7702
41202#U071#COVID-19 virus identified,URmtr,Chapter I Certain infectious and parasitic diseases,0.0955,321124,2274,7,0.00307827616534741,318850,491,0.00153990904814176,2.0021,0.9484,4.2266
union#J9691#Respiratory failure unspecified Type II [hypercapnic],URmtr,Chapter X Diseases of the respiratory system,0.0861,155424,1431,5,0.00349406009783368,153993,248,0.00161046281324476,2.1737,0.8954,5.2767
union#B965#Pseudomonas (aeruginosa) as the cause of diseases classified to other chapters,URmtr,Chapter I Certain infectious and parasitic diseases,0.0281,226077,1832,7,0.00382096069868996,224245,351,0.00156525229102098,2.4466,1.1562,5.1774
union#E84#Cystic fibrosis,URmtr,Chapter IV Endocrine nutritional and metabolic diseases,0.0011,158893,129,3,0.0232558139534884,158764,243,0.00153057368169106,15.5321,4.9087,49.1464
40006#C02#Malignant neoplasm of other and unspecified parts of tongue,flexdmg,Chapter II Neoplasms,0.0656,237171,255,6,0.0235294117647059,236916,2616,0.0110418882641949,2.1582,0.9594,4.8546
41202#M7963#Pain in limb Forearm,flexdmg,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0244,297760,150,5,0.0333333333333333,297610,3224,0.0108329693222674,3.1486,1.2902,7.6842
41202#E23#Hypofunction and other disorders of pituitary gland,flexdmg,Chapter IV Endocrine nutritional and metabolic diseases,0.084,336422,295,0,0,336127,3672,0.0109244422495069,0,,
41202#G549#Nerve root and plexus disorder unspecified,flexdmg,Chapter VI Diseases of the nervous system,0.0958,384155,100,3,0.03,384055,4170,0.010857819843512,2.8175,0.8927,8.8927
41202#N908#Other specified noninflammatory disorders of vulva and perineum,flexdmg,Chapter XIV Diseases of the genitourinary system,0.0644,159186,578,11,0.0190311418685121,158608,1697,0.0106993342076062,1.7938,0.9859,3.2639
41202#K519#Ulcerative colitis unspecified,flexdmg,Chapter XI Diseases of the digestive system,0.0136,197359,2651,16,0.00603545831761599,194708,2114,0.0108572837274277,0.5532,0.3378,0.906
union#H041#Other disorders of lacrimal gland,flexdmg,Chapter VII Diseases of the eye and adnexa,0.0461,205176,1349,7,0.00518902891030393,203827,2217,0.0108768710720366,0.4743,0.2254,0.9981
40001#C32#Malignant neoplasm of larynx,flexdmg,Chapter II Neoplasms,0.0179,171310,49,3,0.0612244897959184,171261,1928,0.0112576710401084,5.7279,1.7799,18.433
41202#Block I26-I28#I26-I28 Pulmonary heart disease and diseases of pulmonary circulation,flexdmg,Chapter IX Diseases of the circulatory system,0.0495,263233,5581,76,0.0136176312488801,257652,2777,0.0107781037989226,1.2671,1.0073,1.5939
41202#M1901#Primary arthrosis of other joints Shoulder region,flexdmg,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0692,297811,201,5,0.0248756218905473,297610,3224,0.0108329693222674,2.3294,0.9582,5.6628
41202#G40#Epilepsy,flexdmg,Chapter VI Diseases of the nervous system,0.0778,319021,1481,9,0.00607697501688049,317540,3462,0.0109025634565724,0.5547,0.2878,1.0691
union#Z038#Observation for other suspected diseases and conditions,flexdmg,Chapter XXI Factors influencing health status and contact with health services,0.0966,153329,11865,147,0.0123893805309735,141464,1517,0.0107235763162359,1.1573,0.976,1.3722
41202#B34#Viral infection of unspecified site,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0078,361493,1944,34,0.0174897119341564,359549,3870,0.0107634842538847,1.636,1.1638,2.2999
41202#G45#Transient cerebral ischaemic attacks and related syndromes,flexdmg,Chapter VI Diseases of the nervous system,0.0872,325673,3913,54,0.0138001533350371,321760,3488,0.0108403779214321,1.2769,0.9741,1.6737
union#B978#Other viral agents as the cause of diseases classified to other chapters,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0442,257296,606,12,0.0198019801980198,256690,2754,0.0107288947757996,1.8628,1.0506,3.3028
union#H029#Disorder of eyelid unspecified,flexdmg,Chapter VII Diseases of the eye and adnexa,0.0095,282601,17987,162,0.00900650469783733,264614,2925,0.0110538369096117,0.8131,0.6936,0.9532
131629#Source of report of K51 ulcerative colitis,flexdmg,Chapter XI Diseases of the digestive system,0.0148,380125,5414,41,0.00757295899519764,374711,4127,0.011013821318296,0.6852,0.5032,0.9331
